模型,数据集,训练集数据量,ACC,F1,Sensitivity,Specificity,best_epoch,checkpoint,status,error
XGBoost,UKB,10,0.576,0.552,0.522,0.630,,,ok,
XGBoost,UKB,50,0.541,0.303,0.200,0.882,,,ok,
XGBoost,UKB,100,0.536,0.219,0.130,0.942,,,ok,
XGBoost,UKB,500,0.528,0.160,0.090,0.966,,,ok,
XGBoost,UKB,1000,0.542,0.208,0.120,0.964,,,ok,
XGBoost,UKB,3000,0.578,0.317,0.196,0.960,,,ok,
XGBoost,YHD,10,0.553,0.393,0.290,0.816,,,ok,
XGBoost,YHD,50,0.576,0.360,0.238,0.914,,,ok,
XGBoost,YHD,100,0.600,0.429,0.300,0.900,,,ok,
XGBoost,YHD,500,0.728,0.672,0.558,0.898,,,ok,
XGBoost,YHD,1000,0.724,0.655,0.524,0.924,,,ok,
XGBoost,YHD,3000,0.753,0.701,0.580,0.926,,,ok,
LightGBM,UKB,10,0.500,0.000,0.000,1.000,,,ok,
LightGBM,UKB,50,0.521,0.343,0.250,0.792,,,ok,
LightGBM,UKB,100,0.530,0.214,0.128,0.932,,,ok,
LightGBM,UKB,500,0.525,0.150,0.084,0.966,,,ok,
LightGBM,UKB,1000,0.547,0.228,0.134,0.960,,,ok,
LightGBM,UKB,3000,0.563,0.268,0.160,0.966,,,ok,
LightGBM,YHD,10,0.500,0.000,0.000,1.000,,,ok,
LightGBM,YHD,50,0.611,0.530,0.438,0.784,,,ok,
LightGBM,YHD,100,0.591,0.455,0.342,0.840,,,ok,
LightGBM,YHD,500,0.729,0.677,0.568,0.890,,,ok,
LightGBM,YHD,1000,0.731,0.662,0.528,0.934,,,ok,
LightGBM,YHD,3000,0.751,0.696,0.570,0.932,,,ok,
DecisionTree,UKB,10,0.582,0.543,0.496,0.668,,,ok,
DecisionTree,UKB,50,0.508,0.272,0.184,0.832,,,ok,
DecisionTree,UKB,100,0.521,0.334,0.240,0.802,,,ok,
DecisionTree,UKB,500,0.516,0.301,0.208,0.824,,,ok,
DecisionTree,UKB,1000,0.556,0.366,0.256,0.856,,,ok,
DecisionTree,UKB,3000,0.542,0.362,0.260,0.824,,,ok,
DecisionTree,YHD,10,0.548,0.423,0.332,0.764,,,ok,
DecisionTree,YHD,50,0.468,0.128,0.078,0.858,,,ok,
DecisionTree,YHD,100,0.597,0.489,0.386,0.808,,,ok,
DecisionTree,YHD,500,0.656,0.570,0.456,0.856,,,ok,
DecisionTree,YHD,1000,0.637,0.546,0.436,0.838,,,ok,
DecisionTree,YHD,3000,0.657,0.569,0.452,0.862,,,ok,
MLP,UKB,10,0.569,0.577,0.588,0.550,,,ok,
MLP,UKB,50,0.520,0.205,0.124,0.916,,,ok,
MLP,UKB,100,0.499,0.177,0.108,0.890,,,ok,
MLP,UKB,500,0.498,0.000,0.000,0.996,,,ok,
MLP,UKB,1000,0.500,0.000,0.000,1.000,,,ok,
MLP,UKB,3000,0.532,0.143,0.078,0.986,,,ok,
MLP,YHD,10,0.553,0.239,0.140,0.966,,,ok,
MLP,YHD,50,0.542,0.191,0.108,0.976,,,ok,
MLP,YHD,100,0.529,0.133,0.072,0.986,,,ok,
MLP,YHD,500,0.525,0.109,0.058,0.992,,,ok,
MLP,YHD,1000,0.696,0.595,0.446,0.946,,,ok,
MLP,YHD,3000,0.727,0.655,0.518,0.936,,,ok,
FT-Transformer,UKB,10,0.500,0.667,1.000,0.000,1,contrast1/checkpoints/UKB/train10/seed42_best.pth,ok,
FT-Transformer,UKB,50,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/UKB/train50/seed42_best.pth,ok,
FT-Transformer,UKB,100,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/UKB/train100/seed42_best.pth,ok,
FT-Transformer,UKB,500,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/UKB/train500/seed42_best.pth,ok,
FT-Transformer,UKB,1000,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/UKB/train1000/seed42_best.pth,ok,
FT-Transformer,UKB,3000,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/UKB/train3000/seed42_best.pth,ok,
FT-Transformer,YHD,10,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/YHD/train10/seed42_best.pth,ok,
FT-Transformer,YHD,50,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/YHD/train50/seed42_best.pth,ok,
FT-Transformer,YHD,100,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/YHD/train100/seed42_best.pth,ok,
FT-Transformer,YHD,500,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/YHD/train500/seed42_best.pth,ok,
FT-Transformer,YHD,1000,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/YHD/train1000/seed42_best.pth,ok,
FT-Transformer,YHD,3000,0.717,0.674,0.586,0.848,43,contrast1/checkpoints/YHD/train3000/seed42_best.pth,ok,
LogisticRegression,UKB,10,0.558,0.573,0.592,0.524,,,ok,
LogisticRegression,UKB,50,0.542,0.371,0.270,0.814,,,ok,
LogisticRegression,UKB,100,0.532,0.424,0.344,0.720,,,ok,
LogisticRegression,UKB,500,0.545,0.489,0.436,0.654,,,ok,
LogisticRegression,UKB,1000,0.595,0.556,0.508,0.682,,,ok,
LogisticRegression,UKB,3000,0.601,0.578,0.546,0.656,,,ok,
LogisticRegression,YHD,10,0.605,0.481,0.366,0.844,,,ok,
LogisticRegression,YHD,50,0.565,0.410,0.302,0.828,,,ok,
LogisticRegression,YHD,100,0.690,0.664,0.612,0.768,,,ok,
LogisticRegression,YHD,500,0.737,0.716,0.662,0.812,,,ok,
LogisticRegression,YHD,1000,0.763,0.740,0.676,0.850,,,ok,
LogisticRegression,YHD,3000,0.770,0.759,0.726,0.814,,,ok,
